cas_rn.x,chemical_name,fraction,result_unit.x,CHEM_PARAMETER_CDE,result_unit.y,cas_rn.y,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
TSS,TOTAL SUSPENDED SOLIDS,T,mg/l,U00530,mg/l,TSS,Physical,"Suspended solids, water, unfiltered, milligrams per liter",Total suspended solids,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
TVS,TOTAL VOLATILE SOLIDS,T,mg/l,D00003,mg/l,"NA","Inorganics, Major, Non-metals","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",D
TSO,TOTAL SOLIDS,T,mg/l,U00500,mg/l,NA,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Total solids,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TSO,TOTAL SOLIDS,T,mg/l,U00500,mg/l,NA,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Total solids,"NA","NA","NA","NA","NA","NA","NA","NA",NA
PH,PH,T,ph units,U00400,std units,NA,Physical,"pH, water, unfiltered, field, standard units",pH,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
PHWATER,PH (WATER),T,ph units,U00400,ph units,NA,Physical,"pH, water, unfiltered, field, standard units",pH,"NA","NA","NA","NA","NA","NA","NA","NA",NA
14797-55-8,"NITROGEN, NITRATE (AS N)",T,mg/l,U00618,mg/l,14797-55-8,Nutrient,"Nitrate, water, filtered, milligrams per liter as nitrogen",Nitrate,"NA","NA","NA","NA","NA",NA,casrn doesn’t match descriptions,NA,"NA"
14797-65-0,"NITROGEN, NITRITE",T,mg/l,U71856,mg/l,14797-65-0,Nutrient,"Nitrite, water, filtered, milligrams per liter as nitrite",Nitrite,"NA","NA","NA","NA","NA",yes,repeat,NA,"NA"
COLIF,COLIFORM,T,cfu/100ml,U61213,cfu/100ml,NA,Microbiological,"Total coliforms, water, colonies per 100 milliliters",Total coliforms,"NA","NA","NA","NA","NA","NA","NA","NA",NA
FECCOLIFORM,FECAL COLIFORM,T,cfu/100ml,U61215,cfu/100ml,NA,Microbiological,"Fecal coliforms, water, colonies per 100 milliliters",Fecal coliforms,"NA","NA","NA","NA","NA","NA","NA","NA",NA
127-18-4,TETRACHLOROETHYLENE (PCE),T,ug/l,U34475,ug/l,127-18-4,"Organics, other","Tetrachloroethene, water, unfiltered, recoverable, micrograms per liter",Tetrachloroethylene,"NA","NA","NA","NA","NA","NA","NA","NA",NA
79-01-6,TRICHLOROETHYLENE (TCE),T,ug/l,U39180,ug/l,79-01-6,"Organics, other","Trichloroethene, water, unfiltered, recoverable, micrograms per liter",Trichloroethylene,"NA","NA","NA","NA","NA","NA","NA","NA",NA
SC,SPECIFIC CONDUCTANCE,D,umhos/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TURB,TURBIDITY,T,ntu,U00076,ntu,TURB,Physical,"Turbidity, water, unfiltered, nephelometric turbidity units",Turbidity,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
TURB,TURBIDITY,T,ntu,U63680,fnu,TURB,Physical,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)",Turbidity,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
TEMP,TEMPERATURE,T,deg c,U00010,deg c,NA,Physical,"Temperature, water, degrees Celsius","Temperature, water","NA","NA","NA","NA","NA","NA","NA","NA",NA
DISS_OXYGEN,DISSOLVED OXYGEN,T,mg/l,U00300,mg/l,7782-44-7,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter",Oxygen,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TOTPHEN,"PHENOLICS, TOTAL RECOVERABLE",T,mg/l,U32730,mg/l,NA,"Organics, other","Phenolic compounds, water, unfiltered, recoverable, micrograms per liter",Phenols and phenolic compounds,"NA","NA","NA","NA","NA","NA","NA","NA",NA
75-09-2,METHYLENE CHLORIDE,T,ug/l,U34423,ug/l,75-09-2,"Organics, other","Dichloromethane, water, unfiltered, recoverable, micrograms per liter",Methylene chloride,"NA","NA","NA","NA","NA","NA","NA","NA",NA
121-48-1,CHLORODIBROMOMETHANE,T,ug/l,U32105,ug/l,124-48-1,"Organics, other","Dibromochloromethane, water, unfiltered, recoverable, micrograms per liter",Chlorodibromomethane,"NA","NA","NA","NA","NA","NA","NA","NA",NA
75-01-4,VINYL CHLORIDE,T,ug/l,U39175,ug/l,75-01-4,"Organics, other","Vinyl chloride, water, unfiltered, recoverable, micrograms per liter",Vinyl chloride,"NA","NA","NA","NA","NA","NA","NA","NA",NA
124-48-1,DIBROMOCHLOROMETHANE,T,ug/l,U32105,ug/l,124-48-1,"Organics, other","Dibromochloromethane, water, unfiltered, recoverable, micrograms per liter",Chlorodibromomethane,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-97-6,MERCURY,T,ng/l,U50284,ng/l,7439-97-6,"Organics, other","Methylmercury, water, unfiltered, recoverable, nanograms per liter",Methylmercury(1+),"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-66-6,ZINC,D,ug/l,U01090,ug/l,7440-66-6,"Inorganics, Minor, Metals","Zinc, water, filtered, micrograms per liter",Zinc,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-95-4,MAGNESIUM,T,ug/l,U52282,ug/l,7439-95-4,"Inorganics, Minor, Metals","Magnesium, water, unfiltered, total, milligrams per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-09-7,POTASSIUM,T,ug/l,U52507,ug/l,7440-09-7,"Inorganics, Major, Metals","Potassium, water, unfiltered, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-23-5,SODIUM,T,ug/l,U52290,ug/l,7440-23-5,"Inorganics, Major, Metals","Sodium, water, unfiltered, milligrams per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-70-2,CALCIUM,T,ug/l,U52505,ug/l,7440-70-2,"Inorganics, Major, Metals","Calcium, water, unfiltered, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
DOC,DISSOLVED ORGANIC CARBON,D,mg/l,U00681,mg/l,NA,"Organics, other","Organic carbon, water, filtered, milligrams per liter",Organic carbon,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
14265-44-2,PHOSPHATE ION,D,mg/l,U70507,mg/l,14265-44-2,Nutrient,"Orthophosphate, water, unfiltered, milligrams per liter as phosphorus",Phosphate,"NA","NA","NA","NA","NA","NA","NA","NA",NA
17060-07-0,"1,2-DICHLOROETHANE-D4",T,%,U99832,ug/l,17060-07-1,Information,"1,2-Dichloroethane-d4, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA","NA","NA","NA",D99832
17060-07-0,"1,2-DICHLOROETHANE-D4",T,%,U99832,%,17060-07-0,Information,"1,2-Dichloroethane-d4, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA","NA","NA","NA",NA
2037-26-5,TOLUENE-D8,T,%,U99833,percent,2037-26-5,Information,"Toluene-d8, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA",yes,alternative:91818,NA,"NA"
460-00-4,P-BROMOFLUOROBENZENE,T,%,U90654,percent,460-00-4,Information,"1-Bromo-4-fluorobenzene, surrogate, water, filtered, percent recovery",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
DOC,DISSOLVED ORGANIC CARBON,T,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
