chemical_name,fraction,result_unit,CHEM_PARAMETER_CDE,parameter_group_nm,SRS_Name,Long_Name,cas_rn
TOTAL CARBON,T,mg/l,U00690,"Inorganics, Major, Non-metals",Total Carbon,"Carbon [inorganic plus organic], water, unfiltered, milligrams per liter",7440-44-0
TOTAL DISSOLVED SOLIDS,NA,mg/L,U70301,Physical,Total dissolved solids,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",
"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",D,mg/l,U70301,Physical,Total dissolved solids,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",TDS
"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",NA,mg/l,U70301,Physical,Total dissolved solids,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",TDS
"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",T,mg/l,U70301,Physical,Total dissolved solids,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",TDS
TOTAL HARDNESS,T,mg/L,U00900,Physical,Total hardness -- SDWA NPDWR,"Hardness, water, milligrams per liter as calcium carbote",
TOTAL ORGANIC CARBON,D,mg/l,U00680,"Organics, other",Organic carbon,"Organic carbon, water, unfiltered, milligrams per liter",TOC
TOTAL ORGANIC CARBON,T,mg/l,U00680,"Organics, other",Organic carbon,"Organic carbon, water, unfiltered, milligrams per liter",TOC
TOTAL ORGANIC CARBON,T,mg/L,U00680,"Organics, other",Organic carbon,"Organic carbon, water, unfiltered, milligrams per liter",
"TOTAL PHOSPHORUS, MIXED FORMS",NA,mg/L,U52635,Nutrient,,"Phosphorus, water, unfiltered, total, milligrams per liter as phosphorus",
"TOTAL PHOSPHORUS, MIXED FORMS",T,mg/L,U52635,Nutrient,,"Phosphorus, water, unfiltered, total, milligrams per liter as phosphorus",
