"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",2020-05-20 10:30:00,"TDS","T",189,"mg/l",9,"mg/l",10,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","TURBIDITY",2020-05-20 10:30:00,"TURB","T",2.9,"ntu",0.06,"ntu",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Zinc",2020-05-20 10:30:00,"7440-66-6","D",13,"ug/l",2.5,"ug/l",5,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Zinc",2020-05-20 10:30:00,"7440-66-6","T",3.6,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","ALKALINITY, TOTAL (AS CaCO3)",2020-06-02 10:45:00,"ALK","T",61.2,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","Aluminum",2020-06-02 10:45:00,"7429-90-5","D",43.2,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","Arsenic",2020-06-02 10:45:00,"7440-38-2","T",0.48,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","Cadmium",2020-06-02 10:45:00,"7440-43-9","D",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","Calcium",2020-06-02 10:45:00,"7440-70-2","T",21900,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","Carbon, Dissolved Organic (DOC)",2020-06-02 10:45:00,"DOC","D",5.3,"mg/l",0.5,"mg/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","CHLORIDE (AS CL)",2020-06-02 10:45:00,"16887-00-6","T",98,"mg/l",1.7,"mg/l",8,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","Copper",2020-06-02 10:45:00,"7440-50-8","D",2.5,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","Copper",2020-06-02 10:45:00,"7440-50-8","T",2.5,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-06022020-W","R2004742","Fluoride, undistilled",2020-06-02 10:45:00,"16984-48-8","T",NA,"mg/l",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2021-04-13
