"CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SYS_SAMPLE_CDE","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT"
"12-REAL-0.1","03/16/2021","N","ALSRNY","12-REAL-0.1-03162021-W","12-REAL-0.1-03162021-W","WS","N","N","Field","","R2102507","03/16/2021 12:15:00","03/18/2021","12-REAL-0.1",,,"NYSDEC",
"12-STLE-0.2","03/16/2021","N","ALSRNY","12-STLE-0.2-03162021-W","12-STLE-0.2-03162021-W","WS","N","N","Field","","R2102507","03/16/2021 13:00:00","03/18/2021","12-STLE-0.2",,,"NYSDEC",
"12-FULM-0.4","03/16/2021","N","ALSRNY","12-FULM-0.4-03162021-W","12-FULM-0.4-03162021-W","WS","N","N","Field","","R2102507","03/16/2021 13:45:00","03/18/2021","12-FULM-0.4",,,"NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376466-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102507","03/28/2021 12:26:00",,"Method Blank",,,"NYSDEC",
"00-QAQC-0.0","03/24/2021","N","ALSRNY","717351-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102507","03/24/2021 21:42:00",,"Method Blank",,,"NYSDEC",
"00-QAQC-0.0","03/22/2021","N","ALSRNY","376148-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102507","03/22/2021 15:14:00",,"Method Blank",,,"NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376467-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102507","03/28/2021 12:26:00",,"Method Blank",,,"NYSDEC",
"00-QAQC-0.0","03/23/2021","N","ALSRNY","717040-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102507","03/23/2021 12:15:00",,"Method Blank",,,"NYSDEC",
"00-QAQC-0.0","03/18/2021","N","ALSRNY","716715-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102507","03/18/2021 11:35:00",,"Method Blank",,,"NYSDEC",
"00-QAQC-0.0","03/23/2021","N","ALSRNY","717041-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102507","03/23/2021 12:15:00",,"Method Blank",,,"NYSDEC",
