"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","test_batch_type","test_batch_id"
"13-BEER_W-0.2_07272017_WS","SM 2320 B","08/07/2017 20:52:00","T",NA,"initial","Analysis","556931"
"13-BEER_W-0.2_07272017_WS","D6919-09","08/09/2017 05:43:00","T",NA,"initial","Analysis","557004"
"13-BEER_W-0.2_07272017_WS","E300.0","08/02/2017 00:33:00","T",NA,"initial","Analysis","556040"
"13-BEER_W-0.2_07272017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13-BEER_W-0.2_07272017_WS","SM2340B","08/05/2017 01:40:00","T",NA,"initial","Analysis","6AUG04A"
"13-BEER_W-0.2_07272017_WS","Calculation","07/28/2017 11:18:00","T",NA,"initial","Analysis","555904"
"13-BEER_W-0.2_07272017_WS","E353.2","08/02/2017 16:02:00","T",NA,"initial","Analysis","556184"
"13-BEER_W-0.2_07272017_WS","E353.2","07/28/2017 11:18:00","T",NA,"initial","Analysis","555904"
"13-BEER_W-0.2_07272017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-BEER_W-0.2_07272017_WS","E365.1","08/02/2017 19:55:00","T",NA,"initial","Prep","294353"
"13-BEER_W-0.2_07272017_WS","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13-ROND-32.2_07272017_WS","SM 2320 B","08/07/2017 20:57:00","T",NA,"initial","Analysis","556931"
"13-ROND-32.2_07272017_WS","D6919-09","08/09/2017 06:16:00","T",NA,"initial","Analysis","557004"
"13-ROND-32.2_07272017_WS","E300.0","08/02/2017 00:44:00","T",NA,"initial","Analysis","556040"
"13-ROND-32.2_07272017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13-ROND-32.2_07272017_WS","SM2340B","08/05/2017 01:43:00","T",NA,"initial","Analysis","6AUG04A"
"13-ROND-32.2_07272017_WS","Calculation","07/28/2017 11:19:00","T",NA,"initial","Analysis","555904"
"13-ROND-32.2_07272017_WS","E353.2","08/02/2017 16:03:00","T",NA,"initial","Analysis","556184"
"13-ROND-32.2_07272017_WS","E353.2","07/28/2017 11:19:00","T",NA,"initial","Analysis","555904"
"13-ROND-32.2_07272017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-ROND-32.2_07272017_WS","E365.1","08/02/2017 19:55:00","T",NA,"initial","Prep","294353"
"13-ROND-32.2_07272017_WS","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13-XSTK-0.9_07272017_WS","SM 2320 B","08/07/2017 21:03:00","T",NA,"initial","Analysis","556931"
"13-XSTK-0.9_07272017_WS","D6919-09","08/09/2017 07:55:00","T",NA,"initial","Analysis","557004"
"13-XSTK-0.9_07272017_WS","E300.0","08/02/2017 00:55:00","T",NA,"initial","Analysis","556040"
"13-XSTK-0.9_07272017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13-XSTK-0.9_07272017_WS","SM2340B","08/05/2017 01:46:00","T",NA,"initial","Analysis","6AUG04A"
"13-XSTK-0.9_07272017_WS","Calculation","07/28/2017 11:19:00","T",NA,"initial","Analysis","555904"
"13-XSTK-0.9_07272017_WS","E353.2","08/02/2017 16:07:00","T",NA,"initial","Analysis","556184"
"13-XSTK-0.9_07272017_WS","E353.2","07/28/2017 11:19:00","T",NA,"initial","Analysis","555904"
"13-XSTK-0.9_07272017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13-XSTK-0.9_07272017_WS","E365.1","08/02/2017 19:56:00","T",NA,"initial","Prep","294353"
"13-XSTK-0.9_07272017_WS","E180.1","07/28/2017 11:05:00","T",NA,"initial","Analysis","555672"
"13-ESOP-28.7_07272017_WS","SM 2320 B","08/07/2017 21:07:00","T",NA,"initial","Analysis","556931"
"13-ESOP-28.7_07272017_WS","D6919-09","08/09/2017 08:28:00","T",NA,"initial","Analysis","557004"
"13-ESOP-28.7_07272017_WS","E300.0","08/02/2017 01:05:00","T",NA,"initial","Analysis","556040"
"13-ESOP-28.7_07272017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13-ESOP-28.7_07272017_WS","SM2340B","08/05/2017 01:49:00","T",NA,"initial","Analysis","6AUG04A"
